sku,shopify_status,inventory_quantity,variant_id,product_id,product_handle,product_title,sibling_variant_count,siblings_still_in_laura
2800-174,archived,0,47931640283390,9158575980798,2800-174,אוברול קצר עם קשירה טרי ניוד,2,0
2800-178,archived,0,47931640316158,9158575980798,2800-174,אוברול קצר עם קשירה טרי ניוד,2,0
1400-146,archived,0,47931553022206,9158542655742,1400-146,אירגונית 3 תאים פרחים רקומים,1,0
1401-037,active,0,47931553579262,9158542885118,1401-037,אירגונית החתלה מחולקת קורדורוי בז,1,0
1401-036,active,0,47931553513726,9158542819582,1401-036,אירגונית החתלה מחולקת קורדורוי לבן,1,0
1401-041,active,0,47931553972478,9158542950654,1401-041,אירגונית קורדורוי Rocking horse,1,0
2801-052,archived,0,47931647525118,9158577783038,2801-052,בגד גוף בודד 3-6ריב תכלת,1,0
2801-107,active,10,47931650212094,9158578438398,2801-107,בגד גוף מעטפת give away בז',1,0
1907-024,active,0,47931599454462,9158556090622,1907-024,בייבי נסט חלק ג'רזי אבן mountain,1,0
2804-084,archived,10,48089151799550,9193652486398,זוג-גרביים-בז-give-away,זוג גרביים בז' GIVE AWAY,1,0
2804-072,archived,0,47931652604158,9158579618046,2804-072,זוג גרביים מודפס דג,1,0
2804-069,archived,0,47931652440318,9158579552510,2804-069,זוג גרביים מודפס פרח,1,0
2703-036,archived,0,47931639103742,9158575456510,2703-036,זוג חיתולי במבוק 60*60 עלים WASH,1,0
2700-085,archived,0,47931634712830,9158574309630,2700-085,זוג חיתולי טטרא מיוזיק,1,0
2700-084,archived,0,47931634090238,9158574211326,2700-084,זוג חיתולי טטרא מנומר,1,0
1101-242,active,0,47931529593086,9158535446782,1101-242,זוג סדיני לעריסה Elephant,1,0
1102-106,archived,0,47931529789694,9158535643390,1102-106,זוג סדינים ללול גיאומטרי,1,0
1100-145,archived,0,47931519205630,9158530629886,1100-145,זוג סדינים למיטה הדרים בז',1,0
1100-148,archived,0,47931519238398,9158530662654,1100-148,זוג סדינים למיטה שלכת חום,1,0
1100-243,active,10,47931522810110,9158532301054,1100-243,זוג סדינים למיטת תינוק Teddy,1,0
1103-163,active,0,47931532181758,9158537642238,1103-163,זוג סדינים לעגלה Elephant,1,0
1103-164,active,0,47931532247294,9158537707774,1103-164,זוג סדינים לעגלה Hot Air Balloon,1,0
1103-161,active,0,47931532050686,9158537543934,1103-161,זוג סדינים לעגלה Spring,1,0
1103-162,active,0,47931532148990,9158537609470,1103-162,זוג סדינים לעגלה Teddy,1,0
1103-103,archived,0,47931530903806,9158536659198,1103-103,זוג סדינים לעגלה גיאומטרי,1,0
1103-141,archived,0,47931531591934,9158537150718,1103-141,זוג סדינים לעגלה עלים WASH,1,0
1103-139,archived,0,47931531526398,9158537085182,1103-139,זוג סדינים לעגלה עלים כחולים,1,0
1103-138,archived,0,47931531460862,9158537019646,1103-138,זוג סדינים לעגלה פרפרים ורודים,1,0
1103-140,archived,0,47931531559166,9158537117950,1103-140,זוג סדינים לעגלה ציפורים נודדות,1,0
1101-243,active,0,47931529658622,9158535512318,1101-243,זוג סדינים לעריסה Hot Air Balloon,1,0
1101-240,active,0,47931529330942,9158535250174,1101-240,זוג סדינים לעריסה Spring,1,0
1101-241,active,0,47931529560318,9158535414014,1101-241,זוג סדינים לעריסה Teddy,1,0
1101-160,archived,0,47931527102718,9158533808382,1101-160,זוג סדינים לעריסה גיאומטרי,1,0
1103-150,archived,0,47931531821310,9158537380094,1103-150,זוג סדינים עגלה ג'רזי ורוד mountain,1,0
2503-080,archived,0,47931618394366,9158566904062,2503-080,זוג סינרי מגבת ארנבונים,1,0
2803-038,archived,0,47931652243710,9158579421438,2803-038,כובע אינטרלוק לבן,1,0
1603-126,archived,0,47931578876158,9158550094078,1603-126,"כרית מלבנית 34/44 ס""מ איצטרובל רקום",1,0
1603-136,archived,0,47931581628670,9158550814974,1603-136,"כרית נוי 34/44 TOYS ס""מ",1,0
1602-270,archived,0,47931574092030,9158548947198,1602-270,כרית נחשוש קלועה למיטה טדי off-white,1,0
1602-263,archived,0,47931569864958,9158547833086,1602-263,כרית נחשוש קלועה לעריסה לבן mountain,1,0
1602-208,archived,0,47931566096638,9158546227454,1602-208,כרית נחשוש קלועה מנומר חלק,1,0
1602-262,archived,0,47931569340670,9158547636478,1602-262,כרית נחשוש קלועה ניוד mountain,1,0
1602-261,archived,0,47931568849150,9158547407102,1602-261,כרית נחשוש קלועה תכלת mountain,1,0
2805-109,archived,0,47931652800766,9158579814654,2805-109,מארז בגד גוף ורגלית פתוחה נקודות כחולות,1,0
2600-093,active,10,47931627012350,9158571917566,2600-093,מגבת כובע איילות,1,0
2601-096,archived,0,47931632222462,9158573752574,2601-096,מגבת כובע וקשירה דינוזאור ירוק,1,0
2601-094,archived,0,47931631534334,9158573588734,2601-094,מגבת כובע וקשירה טלה,1,0
2601-095,archived,0,47931631960318,9158573687038,2601-095,מגבת כובע וקשירה פינק מאוס,1,0
2600-090,active,10,47931625898238,9158571327742,2600-090,מגבת כובע פינק מאוס,1,0
2600-073,archived,0,47931622326526,9158569197822,2600-073,מגבת כובע תחרה חומה,1,0
2601-072,archived,0,47931629502718,9158572933374,2601-072,מגבת קשירה וכובע יער,1,0
2601-073,archived,0,47931629928702,9158573031678,2601-073,מגבת קשירה וכובע ריקמה,1,0
2601-075,archived,0,47931630256382,9158573129982,2601-075,מגבת קשירה וכובע תחרה ירוקה,1,0
2601-067,archived,0,47931629076734,9158572835070,2601-067,מגבת קשירה עם כובע טקסטורת נמר,1,0
